gene_id;gene;old_locus_tag;product
PP_RS00540;;PP_0106;cytochrome c oxidase subunit 3
PP_RS00545;;PP_5427;twin transmembrane helix small protein
PP_RS00550;;PP_0107;SURF1 family protein
PP_RS00555;;PP_0108;hypothetical protein
PP_RS00560;;PP_0109;COX15/CtaA family protein
PP_RS00565;cyoE;PP_0110;heme o synthase
PP_RS00570;;PP_0111;SCO family protein
PP_RS00575;;PP_0112;MetQ/NlpA family ABC transporter substrate-binding protein
PP_RS00580;;PP_0113;ABC transporter permease
PP_RS00585;;PP_0114;methionine ABC transporter ATP-binding protein
PP_RS00590;katE;PP_0115;catalase HPII
PP_RS00595;;PP_0116;lipoprotein
PP_RS00600;znuB;PP_0117;zinc ABC transporter permease subunit ZnuB
PP_RS00605;znuC;PP_0118;zinc ABC transporter ATP-binding protein ZnuC
PP_RS00610;zur;PP_0119;zinc uptake transcriptional repressor Zur
PP_RS00615;;PP_0120;zinc ABC transporter substrate-binding protein
PP_RS00620;;PP_0121;homoserine kinase
PP_RS00625;;PP_0122;DUF2782 domain-containing protein
PP_RS00630;polA;PP_0123;DNA polymerase I
PP_RS00635;yihA;PP_0124;ribosome biogenesis GTP-binding protein YihA/YsxC
PP_RS00640;;PP_0125;c-type cytochrome
PP_RS00645;;PP_0126;cytochrome c4
PP_RS00650;dsbA;PP_0127;thiol:disulfide interchange protein DsbA
PP_RS00655;;PP_0128;endonuclease/exonuclease/phosphatase family protein
PP_RS00660;;PP_0129;diguanylate cyclase
PP_RS00665;;PP_0130;N-acetylmuramoyl-L-alanine amidase
PP_RS00670;;PP_0131;EAL domain-containing protein
PP_RS00675;;PP_0132;ATP-binding protein
PP_RS00680;algB;PP_0133;sigma-54-dependent response regulator transcription factor AlgB
PP_RS00685;;PP_0134;BON domain-containing protein
PP_RS00690;;PP_5428;hypothetical protein
PP_RS00695;;PP_0135;DUF1328 domain-containing protein
PP_RS00700;;PP_0136;inhibitor of vertebrate lysozyme family protein
PP_RS00705;gltP;PP_0137;glutamate/aspartate:proton symporter GltP
PP_RS00710;;PP_0138;spore maturation protein
PP_RS00715;;PP_0139;ABC-type transport auxiliary lipoprotein family protein
PP_RS00720;;PP_0140;MCE family protein
PP_RS00725;;PP_0141;ATP-binding cassette domain-containing protein
PP_RS00730;;PP_0142;ABC transporter permease
PP_RS00735;;PP_0143;DUF2914 domain-containing protein
PP_RS00740;;PP_0144;insulinase family protein
PP_RS00745;;PP_0145;Na/Pi cotransporter family protein
PP_RS00750;;PP_0146;TerC family protein
PP_RS00755;;PP_0147;CitMHS family transporter
PP_RS00760;;PP_0148;GFA family protein
PP_RS00765;;PP_0149;DUF4105 domain-containing protein
PP_RS00770;;PP_0150;DUF2388 domain-containing protein
PP_RS00775;;PP_0151;DUF2388 domain-containing protein
PP_RS00780;;PP_0152;DUF2388 domain-containing protein
PP_RS00785;;PP_0153;DUF1127 domain-containing protein
PP_RS00790;;PP_0154;acetyl-CoA hydrolase/transferase family protein
