gene_id;gene;old_locus_tag;product
PP_RS06265;;PP_1208;SlyX family protein
PP_RS06275;;PP_1210;DNA starvation/stationary phase protection protein
PP_RS06280;;PP_1211;ribbon-helix-helix domain-containing protein
PP_RS06285;;PP_1212;zinc ribbon domain-containing protein
PP_RS06290;aspS;PP_1213;aspartate--tRNA ligase
PP_RS06295;;PP_1214;YebC/PmpR family DNA-binding transcriptional regulator
PP_RS06300;ruvC;PP_1215;crossover junction endodeoxyribonuclease RuvC
PP_RS06305;ruvA;PP_1216;Holliday junction branch migration protein RuvA
PP_RS06310;ruvB;PP_1217;Holliday junction branch migration DNA helicase RuvB
PP_RS06315;ybgC;PP_1218;tol-pal system-associated acyl-CoA thioesterase
PP_RS06320;tolQ;PP_1219;protein TolQ
PP_RS06325;tolR;PP_1220;protein TolR
PP_RS06330;tolA;PP_1221;cell envelope integrity protein TolA
PP_RS06335;tolB;PP_1222;Tol-Pal system beta propeller repeat protein TolB
PP_RS06340;pal;PP_1223;peptidoglycan-associated lipoprotein Pal
PP_RS06345;ybgF;PP_1224;tol-pal system protein YbgF
PP_RS06350;queE;PP_1225;7-carboxy-7-deazaguanine synthase QueE
PP_RS06355;queC;PP_1226;7-cyano-7-deazaguanine synthase QueC
PP_RS06365;;PP_1227;cation transporter
PP_RS06370;mcpU;PP_1228;methyl-accepting chemotaxis protein McpU
PP_RS06375;;PP_1229;APC family permease
PP_RS06380;;PP_1230;YdgA family protein
PP_RS06385;nadA;PP_1231;quinolinate synthase NadA
PP_RS06390;;PP_1232;M48 family metalloprotease
PP_RS06395;;PP_1233;sulfurtransferase TusA family protein
PP_RS06400;;PP_1234;AI-2E family transporter
PP_RS06405;;PP_1235;peroxiredoxin
PP_RS06410;;PP_1236;glycine cleavage system protein R
PP_RS06415;dapA;PP_1237;4-hydroxy-tetrahydrodipicolinate synthase
PP_RS06420;bamC;PP_1238;outer membrane protein assembly factor BamC
PP_RS06425;;PP_1239;MBL fold metallo-hydrolase
PP_RS06430;;PP_1240;phosphoribosylaminoimidazolesuccinocarboxamide synthase
PP_RS06440;;PP_1241;putative addiction module antidote protein
PP_RS06445;;PP_1242;DUF3077 domain-containing protein
PP_RS06450;;PP_1244;hypothetical protein
PP_RS06455;;PP_1245;SH3 domain-containing protein
PP_RS06460;;PP_1246;hypothetical protein
PP_RS06465;;PP_5467;hypothetical protein
PP_RS06470;;PP_1248;LysE family transporter
PP_RS06475;;PP_1249;YhfL family protein
PP_RS06480;ltrA;PP_1250;group II intron reverse transcriptase/maturase
PP_RS06485;mqo;PP_1251;malate dehydrogenase (quinone)
PP_RS06490;ltrA;PP_1252;group II intron reverse transcriptase/maturase
PP_RS06495;;PP_1253;helix-turn-helix domain-containing protein
PP_RS06500;xenA;PP_1254;xenobiotic reductase XenA
PP_RS06505;;PP_1255;FAD-binding oxidoreductase
PP_RS06510;;PP_1256;aldehyde dehydrogenase (NADP(+))
PP_RS06515;;PP_1257;dihydrodipicolinate synthase family protein
PP_RS06520;;PP_1258;4-hydroxyproline epimerase
PP_RS06525;;PP_1259;APC family permease
PP_RS06530;;PP_1260;IS110-like element ISPpu9 family transposase
PP_RS06535;;PP_1261;D-glycerate dehydrogenase
PP_RS06540;;PP_1262;LysR family transcriptional regulator
PP_RS06545;;PP_1263;efflux transporter outer membrane subunit
PP_RS06550;;PP_1264;FUSC family protein
PP_RS06555;;PP_1265;DUF1656 domain-containing protein
PP_RS06560;;PP_1266;HlyD family secretion protein
PP_RS06565;;PP_1267;type II toxin-antitoxin system YhaV family toxin
PP_RS06570;;PP_1268;type II toxin-antitoxin system PrlF family antitoxin
PP_RS06575;;PP_1269;universal stress protein
PP_RS06580;;PP_1270;LysR family transcriptional regulator
PP_RS06585;;PP_1271;MFS transporter
PP_RS06590;;PP_1272;HlyD family secretion protein
PP_RS06595;;PP_1273;efflux transporter outer membrane subunit
PP_RS06600;;PP_1274;SDR family oxidoreductase
PP_RS06605;;PP_1275;hypothetical protein
PP_RS06610;;PP_1276;hypothetical protein
PP_RS06615;;PP_1277;mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
PP_RS06620;;PP_1278;alginate O-acetyltransferase AlgF
PP_RS06625;;PP_1279;alginate O-acetyltransferase
PP_RS06630;;PP_1280;MBOAT family protein
PP_RS06635;;PP_1281;mannuronate-specific alginate lyase
PP_RS06640;;PP_1282;alginate O-acetyltransferase
PP_RS06645;algG;PP_1283;mannuronan 5-epimerase AlgG
PP_RS06650;;PP_1284;alginate export family protein
PP_RS06655;algK;PP_1285;alginate biosynthesis TPR repeat lipoprotein AlgK
PP_RS06660;;PP_1286;PilZ domain-containing protein
PP_RS06665;;PP_1287;glycosyltransferase family 2 protein
PP_RS06670;;PP_1288;UDP-glucose/GDP-mannose dehydrogenase family protein
PP_RS06675;yaaA;PP_1289;peroxide stress protein YaaA
PP_RS06680;;PP_1290;polysaccharide deacetylase family protein
PP_RS06685;;PP_1291;PhoH family protein
PP_RS06690;moaC;PP_1292;cyclic pyranopterin monophosphate synthase MoaC
PP_RS06695;moaD;PP_1293;molybdopterin converting factor subunit 1
PP_RS06700;moaE;PP_1294;molybdopterin synthase catalytic subunit MoaE
PP_RS06705;rhlB;PP_1295;ATP-dependent RNA helicase RhlB
PP_RS06710;;PP_1296;alpha/beta fold hydrolase
PP_RS06715;;PP_1297;amino acid ABC transporter substrate-binding protein
PP_RS06720;;PP_1298;amino acid ABC transporter permease
PP_RS06725;;PP_1299;amino acid ABC transporter permease
PP_RS06730;;PP_1300;amino acid ABC transporter ATP-binding protein
PP_RS06735;;PP_1301;trypsin-like peptidase domain-containing protein
PP_RS06740;;PP_1302;Nif3-like dinuclear metal center hexameric protein
PP_RS06745;cysD;PP_1303;sulfate adenylyltransferase subunit CysD
PP_RS06750;cysN;PP_1304;sulfate adenylyltransferase subunit CysN
PP_RS06755;;PP_1305;bacteriocin immunity protein
PP_RS06760;;PP_1306;S-type pyocin domain-containing protein
PP_RS06765;;PP_1307;Lrp/AsnC family transcriptional regulator
PP_RS06770;;PP_1308;methionine gamma-lyase
PP_RS06775;;PP_1309;DUF1043 family protein
PP_RS06780;;PP_1310;alpha/beta fold hydrolase
PP_RS06785;;PP_1311;tryptophan--tRNA ligase
PP_RS06790;;PP_1312;cell division protein ZapE
PP_RS06795;;PP_1313;GlxA family transcriptional regulator
PP_RS06800;;PP_1314;NADP(H)-dependent aldo-keto reductase
PP_RS06805;rplM;PP_1315;50S ribosomal protein L13
PP_RS06810;rpsI;PP_1316;30S ribosomal protein S9
PP_RS06815;petA;PP_1317;ubiquinol-cytochrome c reductase iron-sulfur subunit
PP_RS06820;;PP_1318;cytochrome bc complex cytochrome b subunit
PP_RS06825;;PP_1319;cytochrome c1
PP_RS06830;;PP_1320;glutathione S-transferase N-terminal domain-containing protein
PP_RS06835;;PP_1321;ClpXP protease specificity-enhancing factor
PP_RS06840;;PP_1322;BON domain-containing protein
PP_RS06845;;PP_1323;phosphoheptose isomerase
PP_RS06850;;PP_1324;YraN family protein
PP_RS06855;;PP_1325;penicillin-binding protein activator
PP_RS06860;rsmI;PP_1326;16S rRNA (cytidine(1402)-2'-O)-methyltransferase
PP_RS06870;mraZ;PP_1328;division/cell wall cluster transcriptional repressor MraZ
PP_RS06875;rsmH;PP_1329;16S rRNA (cytosine(1402)-N(4))-methyltransferaseRsmH
PP_RS06880;ftsL;PP_1330;cell division protein FtsL
PP_RS06885;;PP_1331;penicillin-binding protein 2
PP_RS06890;;PP_1332;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
PP_RS06895;;PP_1333;UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
PP_RS06900;mraY;PP_1334;phospho-N-acetylmuramoyl-pentapeptide- transferase
PP_RS06905;murD;PP_1335;UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
PP_RS06910;ftsW;PP_1336;putative lipid II flippase FtsW
PP_RS06915;murG;PP_1337;undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
PP_RS06920;murC;PP_1338;UDP-N-acetylmuramate--L-alanine ligase
PP_RS06925;;PP_1339;D-alanine--D-alanine ligase
PP_RS06930;;PP_1340;cell division protein FtsQ/DivIB
PP_RS06935;ftsA;PP_1341;cell division protein FtsA
PP_RS06940;ftsZ;PP_1342;cell division protein FtsZ
PP_RS06945;lpxC;PP_1343;UDP-3-O-acyl-N-acetylglucosamine deacetylase
PP_RS06950;;PP_1344;DUF721 domain-containing protein
PP_RS06955;secA;PP_1345;preprotein translocase subunit SecA
PP_RS06960;argJ;PP_1346;bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
PP_RS06965;;PP_1347;glutathione S-transferase family protein
PP_RS06970;;PP_1348;Nudix family hydrolase
PP_RS06975;;PP_1349;cob(I)yrinic acid a,c-diamide adenosyltransferase
PP_RS06980;;PP_1350;ATP-binding protein
PP_RS06985;;PP_1351;putative 2-dehydropantoate 2-reductase
PP_RS06990;;PP_1352;YajQ family cyclic di-GMP-binding protein
PP_RS06995;;PP_1353;mechanosensitive ion channel family protein
PP_RS07000;;PP_1354;MFS transporter
PP_RS07005;;PP_1355;AmpG family muropeptide MFS transporter
PP_RS07010;;PP_1356;MGMT family protein
PP_RS07015;;PP_1357;DUF481 domain-containing protein
PP_RS07020;;PP_1358;DUF2470 domain-containing protein
PP_RS07025;fxsA;PP_1359;membrane protein FxsA
PP_RS07030;;PP_1360;co-chaperone GroES
PP_RS07035;groL;PP_1361;chaperonin GroEL
PP_RS07040;pyk;PP_1362;pyruvate kinase
PP_RS07045;;PP_1363;hypothetical protein
PP_RS07050;;PP_1364;PilZ domain-containing protein
PP_RS07055;sbcB;PP_1365;exodeoxyribonuclease I
PP_RS07060;;PP_1366;DNA binding protein
PP_RS07065;purU;PP_1367;formyltetrahydrofolate deformylase
PP_RS07070;;PP_1368;flippase-like domain-containing protein
PP_RS07075;;PP_1369;DUF2334 domain-containing protein
PP_RS07080;;PP_1370;glycosyltransferase family 1 protein
PP_RS07085;;PP_1371;methyl-accepting chemotaxis protein
PP_RS07090;;PP_1372;DUF853 family protein
PP_RS07095;;PP_1373;inorganic phosphate transporter
PP_RS07100;;PP_1374;hypothetical protein
PP_RS07105;pcaR;PP_1375;pca regulon transcriptional regulator PcaR
PP_RS07110;;PP_1376;MFS transporter
PP_RS07115;pcaF;PP_1377;3-oxoadipyl-CoA thiolase
PP_RS07120;;PP_1378;MFS family transporter
PP_RS07125;;PP_1379;3-carboxy-cis,cis-muconate cycloisomerase
PP_RS07130;pcaD;PP_1380;3-oxoadipate enol-lactonase
PP_RS07135;pcaC;PP_1381;4-carboxymuconolactone decarboxylase
PP_RS07140;;PP_1382;DUF962 domain-containing protein
PP_RS07145;;PP_1383;OprD family porin
PP_RS07150;;PP_1384;adeC/adeK/oprM family multidrug efflux complex outer membrane factor
PP_RS07155;ttgB;PP_1385;multidrug efflux RND transporter permease subunit TtgB
PP_RS07160;ttgA;PP_1386;toluene efflux RND transporter periplasmic adaptor subunit TtgA
PP_RS07165;ttgR;PP_1387;efflux transport transcriptional regulator TtgR
PP_RS07170;;PP_1388;MFS transporter
PP_RS07175;;PP_1389;oxaloacetate decarboxylase
PP_RS07180;;PP_1391;LysR family transcriptional regulator
PP_RS07185;;PP_1392;NAD(P)-dependent oxidoreductase
PP_RS07190;;PP_1393;LysR substrate-binding domain-containing protein
PP_RS07195;;PP_1394;5-guanidino-2-oxopentanoate decarboxylase
PP_RS07200;;PP_1395;AraC family transcriptional regulator
PP_RS07205;;PP_1396;antibiotic biosynthesis monooxygenase
PP_RS07210;;PP_1397;hypothetical protein
PP_RS07215;;PP_1398;flavin reductase family protein
PP_RS07220;;PP_1399;hypothetical protein
PP_RS07225;;PP_1400;MFS transporter
PP_RS07230;;PP_1401;sigma-54 dependent transcriptional regulator
PP_RS07235;;PP_1402;ATP-binding protein
PP_RS07240;bglX;PP_1403;beta-glucosidase BglX
PP_RS07245;;PP_1404;TPM domain-containing protein
PP_RS07250;;PP_5469;SAM-dependent methyltransferase
PP_RS07255;;PP_1406;DUF4917 family protein
PP_RS07260;;PP_1407;SulP family inorganic anion transporter
PP_RS07270;phaG;PP_1408;(R)-3-hydroxydecanoyl-ACP:CoA transacylase
PP_RS07275;;PP_1409;pseudouridine synthase
PP_RS07280;;PP_1410;cysteine-rich CWC family protein
PP_RS07285;;PP_1411;diguanylate cyclase
PP_RS07290;;PP_5470;hypothetical protein
PP_RS07295;;PP_1412;enoyl-CoA hydratase/isomerase family protein
PP_RS07300;ung;PP_1413;uracil-DNA glycosylase
PP_RS07305;;PP_1414;bifunctional metallophosphatase/5'-nucleotidase
PP_RS07310;;PP_1415;AbrB family transcriptional regulator
PP_RS07315;;PP_1416;tripartite tricarboxylate transporter permease
PP_RS07320;;PP_1417;tripartite tricarboxylate transporter TctB family protein
PP_RS07325;;PP_1418;tripartite tricarboxylate transporter substrate binding protein
PP_RS07330;;PP_1419;OprD family porin
PP_RS07335;;PP_1420;response regulator
PP_RS07340;;PP_1421;sensor histidine kinase
PP_RS07345;;PP_1422;HDOD domain-containing protein
PP_RS07350;;PP_1423;folate-binding protein YgfZ
PP_RS07355;;PP_1424;succinate dehydrogenase assembly factor 2
PP_RS07360;;PP_1425;hypothetical protein
PP_RS07365;nadB;PP_1426;L-aspartate oxidase
PP_RS07370;rpoE;PP_1427;RNA polymerase sigma factor RpoE
PP_RS07375;;PP_1428;RseA family anti-sigma factor
PP_RS07380;;PP_1429;MucB/RseB C-terminal domain-containing protein
PP_RS07385;;PP_1430;DegQ family serine endoprotease
PP_RS07390;lepA;PP_1431;translation elongation factor 4
PP_RS07395;lepB;PP_1432;signal peptidase I
PP_RS07400;rnc;PP_1433;ribonuclease III
PP_RS07405;era;PP_1434;GTPase Era
PP_RS07410;recO;PP_1435;DNA repair protein RecO
PP_RS07415;pdxJ;PP_1436;pyridoxine 5'-phosphate synthase
PP_RS07420;;PP_1437;heavy metal sensor histidine kinase
PP_RS07425;;PP_1438;heavy metal response regulator transcription factor
PP_RS07430;;PP_1439;hypothetical protein
PP_RS07435;cmoB;PP_1440;tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
PP_RS07440;cmoA;PP_1441;carboxy-S-adenosyl-L-methionine synthase CmoA
PP_RS07445;;PP_1442;protease inhibitor I42 family protein
PP_RS07450;lon;PP_1443;endopeptidase La
PP_RS07455;;PP_1444;glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase
PP_RS07460;;PP_1445;carbohydrate porin
PP_RS07465;;PP_1446;TonB-dependent receptor
PP_RS07470;;PP_1447;VF530 family protein
PP_RS07475;;PP_1448;Pr6Pr family membrane protein
PP_RS07480;;PP_1449;hemagglutinin repeat-containing protein
PP_RS07485;;PP_1450;ShlB/FhaC/HecB family hemolysin secretion/activation protein
PP_RS07490;;PP_1451;L,D-transpeptidase family protein
PP_RS07495;;PP_1452;NUDIX hydrolase
PP_RS07500;;PP_1453;CoA pyrophosphatase
PP_RS07505;;PP_1454;gamma carbonic anhydrase family protein
PP_RS07510;;PP_1455;DUF1289 domain-containing protein
PP_RS07515;;PP_1456;VUT family protein
PP_RS07520;purT;PP_1457;formate-dependent phosphoribosylglycinamide formyltransferase
PP_RS07525;;PP_1458;MHS family MFS transporter
PP_RS07530;;PP_1459;CNNM domain-containing protein
PP_RS07535;ccsA;PP_1460;cytochrome c biogenesis protein CcsA
PP_RS07540;ffh;PP_1461;signal recognition particle protein
PP_RS07545;rpsP;PP_1462;30S ribosomal protein S16
PP_RS07550;rimM;PP_1463;ribosome maturation factor RimM
PP_RS07555;trmD;PP_1464;tRNA (guanosine(37)-N1)-methyltransferase TrmD
PP_RS07560;rplS;PP_1465;50S ribosomal protein L19
PP_RS07565;;PP_1466;acyl-CoA thioesterase
PP_RS07570;;PP_1467;sodium:proton antiporter
PP_RS07575;xerD;PP_1468;site-specific tyrosine recombinase XerD
PP_RS07580;;PP_1469;thioredoxin fold domain-containing protein
PP_RS07585;;PP_1470;homoserine dehydrogenase
PP_RS07590;thrC;PP_1471;threonine synthase
PP_RS07595;;PP_5471;response regulator
PP_RS07600;;PP_1473;DUF3509 domain-containing protein
PP_RS07605;;PP_1474;TIGR02285 family protein
PP_RS07610;;PP_1475;CoA transferase
PP_RS07615;;PP_1476;YaeQ family protein
PP_RS07620;recJ;PP_1477;single-stranded-DNA-specific exonuclease RecJ
PP_RS07625;;PP_1478;NADH:flavin oxidoreductase/NADH oxidase
PP_RS07630;;PP_1479;type II toxin-antitoxin system HicB family antitoxin
PP_RS07635;;PP_1480;type II toxin-antitoxin system HicA family toxin
PP_RS07640;;PP_1481;gamma-aminobutyraldehyde dehydrogenase
PP_RS07645;;PP_1482;ABC transporter permease
PP_RS07650;;PP_1483;ABC transporter permease
PP_RS07655;;PP_1484;ABC transporter ATP-binding protein
PP_RS07660;;PP_1486;ABC transporter substrate-binding protein
PP_RS07665;;PP_1487;tellurite resistance TerB family protein
PP_RS07670;;PP_1488;methyl-accepting chemotaxis protein
PP_RS07675;;PP_1489;chemotaxis protein CheW
PP_RS07680;;PP_1490;tetratricopeptide repeat protein
PP_RS07685;;PP_1491;chemotaxis protein CheW
PP_RS07690;;PP_1492;hybrid sensor histidine kinase/response regulator
PP_RS07695;wspF;PP_1493;Wsp signal transduction system protein-glutamatemethylesterase WspF
PP_RS07700;wspR;PP_1494;Wsp signal transduction system regulator diguanylate cyclase WspR
PP_RS07705;prfB;PP_1495;peptide chain release factor 2
PP_RS07710;lysS;PP_1496;lysine--tRNA ligase
PP_RS07715;;PP_1497;TetR family transcriptional regulator
PP_RS07720;;PP_1498;lipoprotein
PP_RS07725;;PP_1499;flavohemoglobin expression-modulating QEGLA motif protein
PP_RS07730;;PP_1500;alpha/beta hydrolase
PP_RS07735;;PP_1501;hypothetical protein
PP_RS07740;;PP_1502;OmpA family protein
PP_RS07745;;PP_1503;DUF4398 domain-containing protein
PP_RS07750;;PP_1504;hypothetical protein
PP_RS07755;ppc;PP_1505;phosphoenolpyruvate carboxylase
PP_RS07760;adk;PP_1506;adenylate kinase
PP_RS07765;tsaB;PP_1507;tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
PP_RS07770;;PP_1508;hypothetical protein
PP_RS07775;;PP_1509;DUF72 domain-containing protein
PP_RS07780;;PP_1510;isocitrate lyase/phosphoenolpyruvate mutase family protein
PP_RS07785;;PP_1511;extensin family protein
PP_RS07790;;PP_1512;hypothetical protein
PP_RS07795;;PP_1513;class I SAM-dependent methyltransferase
PP_RS07800;;PP_1514;RHS repeat-associated core domain-containing protein
PP_RS07805;;PP_1515;TetR/AcrR family transcriptional regulator
PP_RS07810;;PP_1516;efflux RND transporter periplasmic adaptor subunit
PP_RS07815;;PP_1517;efflux RND transporter permease subunit
PP_RS07820;;PP_1518;DUF4197 domain-containing protein
PP_RS07825;;PP_1519;YbaY family lipoprotein
PP_RS07830;plsB;PP_1520;glycerol-3-phosphate 1-O-acyltransferase PlsB
PP_RS07835;;PP_1522;cold-shock protein
PP_RS07840;;PP_1523;hypothetical protein
PP_RS07845;;PP_1524;methyltransferase domain-containing protein
PP_RS07850;dapE;PP_1525;succinyl-diaminopimelate desuccinylase
PP_RS07855;;PP_1526;glycosyltransferase
PP_RS07860;tcdA;PP_1527;tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA
PP_RS07865;;PP_1528;SufE family protein
PP_RS07870;;PP_1529;cysteine desulfurase
PP_RS07875;dapD;PP_1530;2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PP_RS07880;;PP_1531;ArsC family reductase
PP_RS07885;;PP_1532;phage integrase Arm DNA-binding domain-containing protein
PP_RS07890;;PP_1533;excisionase
PP_RS07895;;PP_1534;hypothetical protein
PP_RS07900;;PP_1535;class I SAM-dependent methyltransferase
PP_RS07905;;PP_1536;DUF2591 family protein
PP_RS07910;;PP_1537;hypothetical protein
PP_RS07915;;PP_5472;hypothetical protein
PP_RS07920;;PP_1538;hypothetical protein
PP_RS07925;;PP_1539;hypothetical protein
PP_RS07930;;PP_1540;hypothetical protein
PP_RS07935;;PP_1541;DNA cytosine methyltransferase
PP_RS07940;;PP_1542;hypothetical protein
PP_RS07945;;PP_RS07945;hypothetical protein
PP_RS07950;;PP_1543;hypothetical protein
PP_RS07955;;PP_RS07955;hypothetical protein
PP_RS07960;;PP_1544;hypothetical protein
PP_RS07965;;PP_1545;hypothetical protein
PP_RS07970;;PP_1546;hypothetical protein
PP_RS07975;;PP_RS07975;helix-turn-helix transcriptional regulator
PP_RS07980;;PP_5474;hypothetical protein
PP_RS07985;;PP_1548;tellurite resistance protein
PP_RS07990;;PP_5744;DUF1654 domain-containing protein
PP_RS07995;;PP_1549;Cro/Cl family transcriptional regulator
PP_RS08000;;PP_1550;Cro/CI family transcriptional regulator
PP_RS08005;;PP_1551;replication protein
PP_RS08010;;PP_1552;ATP-binding protein
PP_RS08015;;PP_1553;DUF1364 domain-containing protein
PP_RS08020;;PP_1554;VRR-NUC domain-containing protein
PP_RS08025;;PP_1555;site-specific integrase
PP_RS08030;;PP_1556;hypothetical protein
PP_RS08035;;PP_1557;hypothetical protein
PP_RS08040;;PP_1558;antitermination protein Q
PP_RS08045;;PP_1559;phage holin, lambda family
PP_RS08050;;PP_1560;hypothetical protein
PP_RS08055;;PP_1561;HNH endonuclease
PP_RS08060;;PP_1562;phage terminase small subunit
PP_RS08065;;PP_1563;terminase large subunit
PP_RS08070;;PP_1565;phage portal protein
PP_RS08075;;PP_1566;HK97 family phage prohead protease
PP_RS08080;;PP_1567;phage major capsid protein
PP_RS08085;;PP_1568;hypothetical protein
PP_RS08090;;PP_1569;head-tail connector protein
PP_RS08095;;PP_1570;phage head closure protein
PP_RS08100;;PP_1571;HK97 gp10 family phage protein
PP_RS08105;;PP_1572;DUF3168 domain-containing protein
PP_RS08115;;PP_1574;phage tail assembly chaperone family protein, TAC
PP_RS08120;;PP_1575;hypothetical protein
PP_RS08125;;PP_1576;superinfection immunity protein
PP_RS08130;;PP_1577;tail tape measure protein
PP_RS08135;;PP_1578;DUF1833 domain-containing protein
PP_RS08140;;PP_5475;hypothetical protein
PP_RS08145;;PP_1579;host specificity factor TipJ family phage tail protein
PP_RS08150;;PP_1580;hypothetical protein
PP_RS08155;;PP_1581;glycoside hydrolase
PP_RS08160;;PP_1582;hypothetical protein
PP_RS08165;;PP_1583;structural protein P5
PP_RS08170;;PP_1584;DUF2514 domain-containing protein
PP_RS08175;;PP_5476;hypothetical protein
PP_RS08180;graA;PP_1585;type II toxin-antitoxin system antitoxin GraA
PP_RS08185;graT;PP_1586;type II toxin-antitoxin system toxin GraT
PP_RS08190;;PP_1587;Na+/H+ antiporter
PP_RS08195;dapC;PP_1588;succinyldiaminopimelate transaminase
PP_RS08200;;PP_1589;[protein-PII] uridylyltransferase
PP_RS08205;map;PP_1590;type I methionyl aminopeptidase
PP_RS08210;rpsB;PP_1591;30S ribosomal protein S2
PP_RS08215;tsf;PP_1592;translation elongation factor Ts
PP_RS08220;pyrH;PP_1593;UMP kinase
PP_RS08225;frr;PP_1594;ribosome recycling factor
PP_RS08230;uppS;PP_1595;polyprenyl diphosphate synthase
PP_RS08235;;PP_1596;phosphatidate cytidylyltransferase
PP_RS08240;ispC;PP_1597;1-deoxy-D-xylulose-5-phosphate reductoisomerase
PP_RS08245;rseP;PP_1598;RIP metalloprotease RseP
PP_RS08250;bamA;PP_1599;outer membrane protein assembly factor BamA
PP_RS08255;;PP_1600;OmpH family outer membrane protein
PP_RS08260;lpxD;PP_1601;UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
PP_RS08265;fabZ;PP_1602;3-hydroxyacyl-ACP dehydratase FabZ
PP_RS08270;lpxA;PP_1603;acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
PP_RS08275;lpxB;PP_1604;lipid-A-disaccharide synthase
PP_RS08280;rnhB;PP_1605;ribonuclease HII
PP_RS08285;dnaE;PP_1606;DNA polymerase III subunit alpha
PP_RS08290;;PP_1607;acetyl-CoA carboxylase carboxyltransferase subunit alpha
PP_RS08295;tilS;PP_1608;tRNA lysidine(34) synthetase TilS
PP_RS08300;;PP_1610;CTP synthase
PP_RS08305;kdsA;PP_1611;3-deoxy-8-phosphooctulonate synthase
PP_RS08310;eno;PP_1612;phosphopyruvate hydratase
PP_RS08315;ftsB;PP_1613;cell division protein FtsB
PP_RS08320;ispD;PP_1614;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PP_RS08325;;PP_1615;LysR substrate-binding domain-containing protein
PP_RS08330;;PP_1616;S-(hydroxymethyl)glutathione dehydrogenase/classIII alcohol dehydrogenase
PP_RS08335;fghA;PP_1617;S-formylglutathione hydrolase
PP_RS08340;ispF;PP_1618;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
PP_RS08345;truD;PP_1619;tRNA pseudouridine(13) synthase TruD
PP_RS08350;surE;PP_1620;5'/3'-nucleotidase SurE
PP_RS08355;;PP_1621;protein-L-isoaspartate(D-aspartate) O-methyltransferase
PP_RS08360;;PP_1622;peptidoglycan DD-metalloendopeptidase family protein
PP_RS08365;rpoS;PP_1623;RNA polymerase sigma factor RpoS
PP_RS08370;ltrA;PP_1624;group II intron reverse transcriptase/maturase
PP_RS08375;;PP_1625;ferredoxin family protein
PP_RS08380;mutS;PP_1626;DNA mismatch repair protein MutS
PP_RS08385;;PP_1627;hypothetical protein
PP_RS08390;;PP_1628;CinA family protein
PP_RS08395;recA;PP_1629;recombinase RecA
PP_RS08400;recX;PP_1630;recombination regulator RecX
PP_RS08405;;PP_1631;LOG family protein
PP_RS08410;;PP_1632;hypothetical protein
PP_RS08415;;PP_1633;quorum-sensing-regulated virulence factor familyprotein
PP_RS08420;;PP_1634;DTW domain-containing protein
PP_RS08425;;PP_1635;response regulator transcription factor
PP_RS08430;;PP_1636;diacylglycerol kinase
PP_RS08435;finR;PP_1637;LysR family transcriptional regulator FinR
PP_RS08440;fpr;PP_1638;ferredoxin-NADP reductase
PP_RS08445;;PP_1639;SprT family zinc-dependent metalloprotease
PP_RS08450;;PP_1640;YIP1 family protein
PP_RS08455;ttcA;PP_1641;tRNA 2-thiocytidine(32) synthetase TtcA
PP_RS08460;;PP_1642;DNA-3-methyladenine glycosylase I
PP_RS08465;;PP_1643;DUF2069 domain-containing protein
PP_RS08470;wrbA;PP_1644;NAD(P)H:quinone oxidoreductase
PP_RS08475;arsC;PP_1645;arsenate reductase (glutaredoxin)
PP_RS08480;;PP_1646;peroxiredoxin family protein
PP_RS08485;;PP_1647;META domain-containing protein
PP_RS08490;;PP_1648;hypothetical protein
PP_RS08495;;PP_1649;2-hydroxyacid dehydrogenase
PP_RS08500;;PP_1650;response regulator
PP_RS08505;;PP_1651;response regulator transcription factor
PP_RS08510;;PP_1652;sensor histidine kinase
PP_RS08515;;PP_1653;IS110-like element ISPpu10 family transposase
PP_RS08520;cysM;PP_1654;cysteine synthase CysM
PP_RS08525;rlmD;PP_1655;23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
PP_RS08530;relA;PP_1656;GTP diphosphokinase
PP_RS08535;mazG;PP_1657;nucleoside triphosphate pyrophosphohydrolase
PP_RS08540;;PP_1658;DUF2058 domain-containing protein
PP_RS08545;;PP_1659;hypothetical protein
PP_RS08550;;PP_1660;sorbitol dehydrogenase
PP_RS08555;;PP_1661;GMC family oxidoreductase
PP_RS08560;;PP_1662;hypothetical protein
PP_RS08565;;PP_1663;DUF3108 domain-containing protein
PP_RS08570;purN;PP_1664;phosphoribosylglycinamide formyltransferase
